Molecular Formula,SMILES,XLogP,Molecular Weight,Hydrogen Bond Donors,Hydrogen Bond Acceptors,Element Count,Topological Polar Surface Area,Rotatable Bonds Count,Lipinski_Violations,Ghose_Violations,Veber_Violations,Lipinski_Pass,Ghose_Pass,Veber_Pass,Sweet_Spot_Pass,All_Rules_Pass
H3N,N,0.0,17.026549,1,1,4,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C9H8O4,O=C(O)c1c(OC(=O)C)cccc1,1.422,180.042259,1,3,21,63.6,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C2H2,C#C,0.418,26.01565,0,0,4,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H16N5O13P3,P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(c3nc2)N)[C@@H]([C@@H]1O)O)O)(OP(=O)(O)O)O,-5.533,506.995745,7,17,47,308.56,15,3,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C16H19N3O4S,S1C([C@H](C(=O)O)N2[C@H]1[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)(C)C,-1.732,349.109627,3,7,43,138.03,8,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H8O6,O=C1O[C@H]([C@@H](O)CO)C(=C1O)O,-0.178,176.032088,4,6,20,107.22,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C6H8O6,O=C1OC([C@@H](O)CO)C(=C1O)O,-0.178,176.032088,4,6,20,107.22,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C9H13N,NC(Cc1ccccc1)C,1.762,135.104799,1,1,23,26.02,4,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C14H18N2O5,O=C(OC)[C@@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1,-0.077,294.121572,3,7,39,118.72,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,❌ Fail,❌ Fail
C16H19N3O5S,S1C([C@H](C(=O)O)N2[C@H]1[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)(C)C,-2.138,365.104542,4,7,44,158.26,9,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C5H11NO2,O=NOCCCCC,2.771,117.078979,0,0,19,38.66,6,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C20H27NO11,O1[C@@H](O[C@@H](C#N)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)O,-2.076,457.158411,7,12,59,202.32,14,2,1,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C20H27NO11,O1[C@@H](OC(C#N)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)O,-2.076,457.158411,7,12,59,202.32,14,2,1,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
BN,N#B,0.0,25.012379,0,1,2,23.79,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
CHO3,O=C(O)[O-],-0.711,60.992569,1,3,5,60.36,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C7H6O2,O=C(O)c1ccccc1,1.637,122.036779,1,2,15,37.3,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
CO2,O=C=O,2.435,43.989829,0,2,3,34.14,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
CN,N#[C-],-0.566,26.003074,0,1,2,23.79,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
CO3,O=C([O-])[O-],-1.192,59.984744,0,3,4,63.19,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H5N3O,O=c1nccc([nH]1)N,0.257,111.043262,2,2,13,71.77,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
CO,[O+]#[C-],-0.467,27.994915,0,0,2,0.0,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C11H12Cl2N2O5,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,0.685,322.012327,3,4,32,112.7,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C27H46O,O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H]([C@@H](CCCC(C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,10.518,386.354866,1,1,74,20.23,11,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H18FN3O3,Fc1c(N2CCNCC2)cc3n(cc(c(c3c1)=O)C(=O)O)C4CC4,3.84,331.13322,2,4,42,74.57,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C8H10N4O2,O=c1n(c(=O)c2n(C)cnc2n1C)C,1.552,194.080376,0,1,24,61.82,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C15H12N2O,O=C(N1c2c(C=Cc3c1cccc3)cccc2)N,2.296,236.094963,1,3,30,46.33,0,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C10H12N5O6P,P1(=O)(O[C@H]2[C@@H](O)[C@H](n3c4ncnc(c4nc3)N)O[C@@H]2CO1)O,-2.486,329.05252,3,10,34,164.65,4,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C3H6N6O6,O=[N+]([O-])N1CN([N+](=O)[O-])CN(C1)[N+](=O)[O-],0.699,222.034882,0,3,21,139.14,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H21NO4,O=C(O[C@@H]1[C@H](C(=O)OC)[C@@H]2N(C)[C@H](C1)CC2)c3ccccc3,2.307,303.147058,0,5,43,55.84,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C14H9Cl5,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.648,351.914689,0,0,28,0.0,8,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C19H28O2,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(C[C@@H](O)CC4)=CC3)C)CC2)CC1)C,3.035,288.20893,1,2,49,37.3,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C2H4,C=C,1.262,28.0313,0,0,6,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C11H15NO2,O1c2c(ccc(c2)CC(NC)C)OC1,1.641,193.110279,1,1,29,30.49,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C2H6O,OCC,-0.076,46.041865,1,1,9,20.23,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
